amfi_code,sharpe_ratio
100016,-0.20151706755966986
100025,-0.5670947928477084
100033,1.0936987435346328
101206,1.0272133278753695
101207,0.16266076928646747
101208,-0.8155673679101643
102885,0.8170993373494354
102886,-0.20583160785470475
102887,0.6195175900829826
118632,1.081659179345704
118633,0.6452074382933202
118634,0.4484340089089892
118635,0.6648569985490604
118636,-0.3566295075144003
119092,0.0307848509545839
119093,0.12961449795668886
119094,0.9982309868636399
119095,-0.07597357117478931
119120,-0.22657538662794546
119551,1.2082665673727138
119552,0.9532794968660092
119598,0.9453082575156091
119599,-0.057186625828181896
120503,0.7979728586052822
120504,1.0265242847992981
120505,1.180101197660648
120506,0.6488787755249534
120507,0.49572339295190987
120841,0.49427253786723085
120842,0.07599984804658429
120843,1.306743969542841
120844,-0.0887472962169809
125497,0.7757902498211185
125498,0.30061192104254486
148567,1.448291170326253
148568,0.9262873467360143
148569,1.234930025774331
149322,0.4640374492204747
149323,1.132121852474721
149324,0.9497958246616011
