amfi_code,sortino_ratio
100016,-0.35104746015230837
100025,-0.9418212366054451
100033,1.829133961514691
101206,1.799562874698445
101207,0.2766437962609221
101208,-1.6810378667540928
102885,1.4357420130649396
102886,-0.3472223025472743
102887,1.0887552508029967
118632,1.850132546855717
118633,1.1544757169236162
118634,0.7460146308533518
118635,1.1379767187807344
118636,-0.6135251287271505
119092,0.0525739855930443
119093,0.22108683979275506
119094,1.7037974802462925
119095,-0.1281855927585191
119120,-0.3767670081707111
119551,2.140267129061778
119552,1.6097764896282987
119598,1.675316570012547
119599,-0.09438726129459904
120503,1.3379431500669132
120504,1.8052937940992424
120505,2.029352940465737
120506,1.0958951614736425
120507,1.0521238822579861
120841,0.8625738849916469
120842,0.12469346986474822
120843,2.3643200321667095
120844,-0.18772304774540488
125497,1.3306512447571266
125498,0.5088128197169164
148567,2.3856443733687978
148568,1.6327409778735096
148569,2.14691392634605
149322,0.7621288703723081
149323,1.8751010639191963
149324,1.6197931764914024
